        wavelength                  f_lam                  e_lam              telcor
 3712.299999999984  3.507349724792688e-15 1.8486763537949758e-16                 1.0
3712.9999999999836 3.4195402055532245e-15 1.8397498531339666e-16                 1.0
3713.6999999999834 3.3790752691242884e-15   1.83753004976919e-16                 1.0
3714.3999999999833  3.308097299136048e-15 1.8402975676163783e-16                 1.0
 3715.099999999983  3.285459023785648e-15  1.799869563184326e-16                 1.0
 3715.799999999983  3.257182661885929e-15 1.8137988232834004e-16                 1.0
3716.4999999999827 3.1391793694045713e-15  1.805896230144839e-16                 1.0
3717.1999999999825 3.4516290319723864e-15 1.8128713153195258e-16                 1.0
3717.8999999999824 3.4723268147537436e-15 1.8050756464353944e-16                 1.0
 3718.599999999982 3.5289979437590066e-15 1.7803789234042585e-16                 1.0
 3719.299999999982  3.526463850220239e-15 1.7602358537744215e-16                 1.0
 3719.999999999982  3.498578494325333e-15 1.7429438478366655e-16                 1.0
3720.6999999999816  3.182459279074097e-15  1.730431030260657e-16                 1.0
3721.3999999999814 3.4864435263076254e-15 1.7374651439072441e-16                 1.0
3722.0999999999813  3.397132715513022e-15 1.7466249243016526e-16                 1.0
 3722.799999999981 3.2085679055521304e-15  1.745565712999442e-16                 1.0
 3723.499999999981  3.306612911887645e-15 1.7447707259038343e-16                 1.0
3724.1999999999807 3.4628913710179795e-15 1.7400995093196518e-16                 1.0
3724.8999999999805 3.3786091247438987e-15 1.7496260562843212e-16                 1.0
3725.5999999999804 3.3399379008229353e-15 1.7478906477875015e-16                 1.0
  3726.29999999998 3.3414865343231984e-15  1.725511169697279e-16                 1.0
  3726.99999999998  3.516641824703814e-15   1.74660298581539e-16                 1.0
  3727.69999999998  3.602563227319434e-15 1.7351290294620936e-16                 1.0
3728.3999999999796 3.4819230906294753e-15 1.7555553722345362e-16                 1.0
3729.0999999999794  3.595438334967821e-15 1.7436031339944434e-16                 1.0
3729.7999999999793 3.3611574698393793e-15 1.7342706043557202e-16                 1.0
 3730.499999999979 3.3610200611915286e-15 1.7150861164255681e-16                 1.0
 3731.199999999979  3.415701860682394e-15 1.6946105330079374e-16                 1.0
3731.8999999999787  3.474200079486647e-15 1.7151058286718396e-16                 1.0
3732.5999999999785 3.1215652050216523e-15  1.678068036518171e-16                 1.0
3733.2999999999784 3.3533750360064285e-15 1.6876305554138074e-16                 1.0
 3733.999999999978  3.567987405740572e-15 1.6791167117884378e-16                 1.0
 3734.699999999978 3.3112717200112633e-15 1.5440712687034821e-16                 1.0
 3735.399999999978 2.7896739723373167e-15 1.4369906180016436e-16                 1.0
