Species,Relative Flux
Ne3 3968,26.14669
HEpsilon,16.04721
HDelta,26.00129
HGamma,47.25562
O3 4363,3.27836
He1 4471,0.57152
He2 4685,0.64094
Ar4 4711,0.10278
HBeta,100.00000
O3 4961,163.13266
O3 5007,486.71977
He1 5876,13.28290
HAlpha,279.85862
N2 6583,662.43980
He1 6678,3.70256
S2 6716,105.29903
H10,5.37217
He2 5411,0.05761
Ar4 4740,0.07321
Species,Relative Flux
O2 3726,370.40843
O2 3728,409.99189
O2 3729,409.99189
HEta,7.39801
Ne3 3868,86.14483
HZeta,10.60922
Ne3 3968,26.14669
HEpsilon,16.04721
HDelta,26.00129
HGamma,47.25562
O3 4363,3.27836
He1 4471,0.57152
He2 4685,0.64094
Ar4 4711,0.10278
HBeta,100.00000
O3 4961,163.13266
O3 5007,486.71977
He1 5876,13.28290
HAlpha,279.85862
N2 6583,662.43980
He1 6678,3.70256
S2 6716,105.29903
H10,5.37217
He2 5411,0.05761
Ar4 4740,0.07321
Species,Relative Flux
O2 3726,301.31751
O2 3728,300.11771
O2 3729,300.11771
HEta,7.21726
Ne3 3868,57.24280
HZeta,10.35474
Ne3 3968,17.37423
HEpsilon,15.66663
HDelta,25.38843
HGamma,47.24776
O3 4363,2.31040
He1 4471,0.57225
He2 4685,0.54895
Ar4 4711,0.03509
HBeta,100.00000
O3 4961,71.35912
O3 5007,212.90273
He1 5876,13.49050
HAlpha,285.05019
N2 6583,432.22153
He1 6678,3.68528
S2 6716,61.27530
H10,5.23878
He2 5411,0.04918
Ar4 4740,0.02537
Species,Relative Flux
O2 3726,40.67368
O2 3728,36.40924
O2 3729,36.40924
HEta,7.33374
Ne3 3868,7.20939
HZeta,10.48975
Ne3 3968,2.18820
HEpsilon,15.84347
HDelta,25.67390
HGamma,46.57548
O3 4363,0.00981
He1 4471,0.58117
He2 4685,0.43329
Ar4 4711,0.00860
HBeta,100.00000
O3 4961,23.03851
O3 5007,68.73723
He1 5876,13.78735
HAlpha,288.09920
N2 6583,471.68227
He1 6678,3.91518
S2 6716,77.19259
H10,5.34135
He2 5411,0.03860
Ar4 4740,0.00613
Species,Relative Flux
O2 3726,301.31751
O2 3728,300.11771
O2 3729,300.11771
HEta,7.21726
Ne3 3868,57.24280
HZeta,10.35474
Ne3 3968,17.37423
HEpsilon,15.66663
HDelta,25.38843
HGamma,47.24776
O3 4363,2.31040
He1 4471,0.57225
He2 4685,0.54895
Ar4 4711,0.03509
HBeta,100.00000
O3 4961,71.35912
O3 5007,212.90273
He1 5876,13.49050
HAlpha,285.05019
N2 6583,432.22153
He1 6678,3.68528
S2 6716,61.27530
H10,5.23878
He2 5411,0.04918
Ar4 4740,0.02537
Species,Relative Flux
O2 3726,221.49157
O2 3728,302.74000
O2 3729,302.74000
HEta,7.42857
Ne3 3868,86.80058
HZeta,10.64795
Ne3 3968,26.34548
HEpsilon,16.10002
HDelta,26.05509
HGamma,47.27595
O3 4363,5.25880
He1 4471,0.55264
He2 4685,1.27517
Ar4 4711,0.53997
HBeta,100.00000
O3 4961,263.15757
O3 5007,785.16029
He1 5876,12.70258
HAlpha,279.19472
N2 6583,413.65474
He1 6678,3.57685
S2 6716,82.63476
H10,5.39670
He2 5411,0.11747
Ar4 4740,0.38168
Species,Relative Flux
O2 3726,199.51298
O2 3728,272.37492
O2 3729,272.37492
HEta,7.44908
