wavelength                  f_lam                  e_lam              telcor
 3858.599999999946  4.704832272622284e-16 1.8119966181426924e-17                 1.0
3859.2999999999456  4.563876924874817e-16  1.775529593704358e-17                 1.0
3859.9999999999454  4.531101394664627e-16 1.7424315617480332e-17                 1.0
3860.6999999999452  4.506089912550374e-16 1.7591123506295587e-17                 1.0
 3861.399999999945  4.532651841705389e-16 1.7985348456477235e-17                 1.0
 3862.099999999945    4.6435735041067e-16 1.8445624019511723e-17                 1.0
3862.7999999999447  4.617428867778678e-16 1.8401066203019102e-17                 1.0
3863.4999999999445  4.697065124182888e-16 1.8787839828459552e-17                 1.0
3864.1999999999443  4.730751743611818e-16  1.885170798355851e-17                 1.0
 3864.899999999944  4.696102862212244e-16 1.8520550096497203e-17                 1.0
 3865.599999999944  4.768101279542752e-16 1.8296117626540314e-17                 1.0
 3866.299999999944  4.836591966205344e-16 1.8182784399880964e-17                 1.0
3866.9999999999436  4.863793159017764e-16 1.8431348412280828e-17                 1.0
3867.6999999999434  5.516397809834136e-16    1.8949347946042e-17                 1.0
3868.3999999999432   8.94193516879865e-16  2.312314248995304e-17                 1.0
 3869.099999999943 1.5537982675978176e-15  2.935992638842758e-17                 1.0
 3869.799999999943 1.6303854354973765e-15  3.044692908178143e-17                 1.0
3870.4999999999427  9.506919432307423e-16 2.4847489112053153e-17                 1.0
3871.1999999999425  5.579837250239231e-16 1.9064053551470885e-17                 1.0
3871.8999999999423  4.734221223868671e-16 1.7672187740347694e-17                 1.0
 3872.599999999942  4.576323954651874e-16 1.7641644847886406e-17                 1.0
 3873.299999999942  4.717749707532877e-16 1.7909912270135933e-17                 1.0
 3873.999999999942  4.555478390965275e-16 1.8108003565973112e-17                 1.0
3874.6999999999416   4.84560186070551e-16 1.8706771404086668e-17                 1.0
3875.3999999999414   4.66209981354709e-16 1.8738495166234043e-17                 1.0
3876.0999999999412  4.445173725027704e-16  1.823020291653415e-17                 1.0
 3876.799999999941  4.766964711832175e-16 1.8123927286637442e-17                 1.0
 3877.499999999941  4.617569308602274e-16 1.7615447086202954e-17                 1.0
3878.1999999999407   4.73828789292711e-16 1.7578808991733768e-17                 1.0
3878.8999999999405  4.519958551223247e-16 1.7465304358347462e-17                 1.0
3879.5999999999403  4.566758365066779e-16 1.7949163938140007e-17                 1.0
  3880.29999999994  4.565652748528569e-16 1.8093817568855387e-17                 1.0
